magnitude_app,temperature_K,spectral_class,radius_solar,metallicity_Fe_H
8.77,18636,B,1.23,0.108
10.75,3491,M,0.97,0.087
10.31,3334,M,0.69,0.497
7.87,5713,G,1.28,-0.221
6.91,4425,K,1.06,-0.161
7.54,5463,G,1.46,0.152
6.95,3482,M,2.28,0.057
9.01,6598,F,0.78,0.088
10.08,3502,M,0.81,-0.351
10.48,3492,M,0.51,0.545
7.18,3409,M,1.3,0.113
6.98,5067,G,0.72,-0.396
7.16,4248,K,1.19,0.153
4.14,3626,M,1.79,-0.276
5.59,3446,M,0.71,0.232
7.93,3384,M,0.79,-0.329
8.76,3254,M,1.66,0.252
8.98,4113,K,1.42,-0.305
6.44,3377,M,1.35,-0.244
7.02,6789,F,0.82,0.034
7.46,3403,M,0.49,-0.153
7.24,3570,M,0.7,-0.139
9.38,6304,F,0.6,-0.382
5.38,3612,M,1.34,-0.082
5.7,3438,M,1.15,0.221
7.4,3284,M,0.74,0.47
5.27,8386,A,0.81,0.207
4.2,6004,G,1.27,0.171
5.01,4903,K,0.85,-0.422
7.51,4609,K,0.75,-0.007
9.26,3476,M,2.69,-0.163
9.3,3553,M,0.76,-0.378
11.18,4571,K,1.4,-0.318
8.2,3493,M,1.22,0.167
8.47,3577,M,0.47,-0.139
7.5,4547,K,0.71,-0.369
7.6,4429,K,1.51,-0.159
12.16,5171,G,0.94,0.072
8.52,3419,M,0.48,-0.169
8.7,3640,M,1.22,-0.303
5.71,3494,M,0.75,-0.23
8.82,4568,K,1.24,0.221
9.32,3450,M,3.83,-0.519
10.22,6156,F,1.21,-0.067
9.26,3458,M,1.36,-0.029
7.75,3321,M,0.88,-0.189
7.66,4256,K,0.57,-0.24
7.86,3711,M,1.67,0.246
8.21,3426,M,0.74,0.245
10.54,3370,M,0.89,0.026
10.15,4864,K,2.45,-0.136
9.51,3643,M,0.84,0.028
12.06,3435,M,1.84,0.101
2.69,3575,M,1.21,-0.028
7.08,4447,K,0.76,0.108
7.98,3379,M,1.19,-0.088
6.66,6654,F,0.7,-0.788
6.14,3443,M,1.57,-0.048
4.57,5521,G,1.87,0.171
7.38,4730,K,1.02,0.008
9.79,3659,M,1.96,0.086
9.55,3404,M,1.08,-0.068
6.5,3585,M,1.58,-0.048
8.44,3303,M,4.37,0.043
10.72,4601,K,3.45,0.486
4.96,5541,G,0.91,0.211
7.68,3566,M,1.16,0.177
8.57,4433,K,0.59,0.051
8.02,3865,M,1.49,-0.333
9.7,3342,M,1.21,0.306
5.0,3670,M,0.68,0.227
5.99,3319,M,1.81,0.091
9.36,6664,F,0.88,-0.011
4.6,3601,M,0.77,0.136
9.62,3510,M,1.22,-0.058
8.9,3413,M,0.79,0.182
9.48,3525,M,0.98,-0.209
7.06,3547,M,2.39,-0.478
9.02,3813,M,0.74,-0.3
5.66,4304,K,1.4,0.035
7.17,3403,M,0.75,-0.075
8.07,4564,K,0.61,-0.037
6.2,5430,G,0.96,-0.324
8.44,8457,A,3.83,0.075
5.71,4741,K,1.48,-0.259
8.54,3865,K,1.26,0.124
11.48,3395,M,0.77,-0.354
5.49,4108,K,0.83,-0.21
7.95,3291,M,0.48,-0.243
4.76,5041,K,2.45,0.143
6.33,3605,M,1.14,-0.115
9.4,5762,G,1.1,0.106
7.14,4482,K,1.11,0.285
9.48,6747,F,2.84,0.445
8.71,3191,M,1.16,0.058
7.87,3682,M,0.91,-0.275
5.94,5275,G,2.46,0.313
9.37,4380,K,0.94,0.378
8.61,8715,A,0.43,-0.015
4.94,3555,M,0.47,0.33
6.07,3515,M,0.91,0.083
2.46,6057,F,1.16,-0.415
5.27,4522,K,1.51,-0.158
7.37,3668,M,0.63,-0.126
5.89,4380,K,0.89,-0.091
6.34,3730,M,0.67,-0.233
10.78,4304,K,1.75,-0.241
10.06,3501,M,1.9,0.336
6.61,3769,M,2.66,-0.434
9.59,3381,M,1.19,-0.181
10.43,3684,M,2.54,0.155
9.24,4944,K,0.71,-0.139
8.6,3530,M,1.11,0.1
10.2,4381,K,0.59,-0.1
9.54,3365,M,1.33,0.109
5.57,3728,M,1.15,-0.259
7.62,3723,M,0.29,-0.465
6.9,9116,A,1.74,-0.1
10.3,3494,M,1.53,-0.447
6.84,3682,M,0.76,-0.017
6.5,3491,M,1.15,-0.284
10.05,5257,G,0.47,-0.281
8.52,8978,A,0.68,0.368
12.22,4868,K,2.3,0.068
6.28,3321,M,0.56,-0.384
6.96,3318,M,1.0,-0.012
10.24,3507,M,0.5,-0.036
5.44,3667,M,1.18,-0.517
10.64,3302,M,1.32,0.087
5.59,3540,M,1.44,0.238
9.22,3397,M,1.26,-0.106
4.31,3623,M,2.04,-0.073
8.09,4320,K,0.76,-0.139
5.26,3635,M,0.59,0.096
11.85,5456,G,0.75,-0.062
5.86,4289,K,0.51,-0.052
6.34,3511,M,1.04,-0.202
9.07,3161,M,0.93,0.51
6.8,3402,M,1.27,-0.065
9.4,6610,F,0.45,0.175
6.58,3190,M,0.99,0.066
6.42,3050,M,1.84,-0.64
7.94,3974,K,1.33,-0.093
5.57,3732,M,0.39,-0.288
8.79,3487,M,0.99,0.244
9.75,3407,M,0.69,-0.317
9.11,3665,M,1.01,0.124
9.29,5389,G,0.83,0.249
4.15,5574,G,2.39,0.07
7.08,20026,B,1.04,0.001
7.55,4394,K,1.17,-0.099
10.91,5581,G,0.98,-0.031
6.84,5713,G,1.27,-0.335
3.4,8421,A,0.9,0.044
5.99,4396,K,1.47,0.263
6.68,4423,K,0.82,-0.218
3.69,5753,F,1.99,0.005
9.94,3550,M,1.28,-0.026
4.86,3288,M,0.93,0.078
8.89,6705,F,1.52,-0.134
5.82,3484,M,1.28,-0.377
11.01,3518,M,1.51,-0.28
7.45,3623,M,1.04,-0.58
7.04,19073,B,0.89,0.194
9.06,3565,M,1.07,0.099
5.99,4560,K,0.78,-0.004
9.15,6440,F,1.63,-0.174
7.04,4291,K,2.08,-0.041
6.81,4634,K,1.34,-0.007
7.82,3623,M,2.03,-0.13
5.82,3520,M,1.76,-0.121
7.62,3313,M,0.87,0.327
8.68,4381,K,1.52,-0.313
3.38,4486,K,0.53,0.248
10.18,4655,K,1.1,-0.404
9.63,4144,K,0.55,0.402
4.29,3401,M,0.95,-0.597
3.98,3430,M,0.49,0.116
9.68,3485,M,1.73,-0.165
9.53,3272,M,0.82,-0.042
9.25,4451,K,1.57,-0.034
5.15,4430,K,0.96,0.151
11.66,3318,M,0.4,-0.49
6.49,4473,K,0.78,-0.008
8.48,3405,M,0.77,0.046
8.5,3587,M,0.99,-0.165
11.19,4301,K,2.13,-0.028
8.25,3516,M,2.31,-0.166
8.83,3359,M,0.89,0.139
7.85,4365,K,0.53,0.091
5.61,3552,M,0.69,0.054
3.36,6576,F,1.27,0.166
8.07,3427,M,0.95,0.312
5.18,6412,F,0.45,-0.248
8.7,7882,A,0.78,0.556
8.3,3745,M,1.93,0.098
8.25,4655,K,1.16,-0.125
5.89,3614,M,1.02,0.575
10.07,3221,M,0.82,-0.104
8.95,5336,G,0.79,-0.303
5.64,3441,M,1.31,-0.127
12.14,3162,M,1.07,-0.139
7.58,5745,G,1.47,0.271
5.33,3754,M,1.31,-0.028
6.48,3861,M,1.01,0.025
4.98,3317,M,1.21,0.016
10.72,3521,M,0.74,0.292
10.16,3731,M,0.98,-0.081
9.48,3456,M,1.96,-0.051
9.1,3401,M,1.01,-0.172
10.5,4987,G,0.9,-0.105
7.52,3698,M,1.11,0.131
8.85,5495,G,0.56,0.182
6.38,3372,M,1.12,0.425
7.69,3550,M,2.34,-0.026
8.9,3527,M,0.67,-0.066
1.84,6555,F,1.14,0.099
6.76,3462,M,0.99,-0.117
8.33,7027,F,0.98,-0.16
7.84,3477,M,0.97,0.081
7.1,3783,M,1.43,-0.098
9.18,3599,M,0.58,-0.072
6.58,5597,G,1.41,0.151
5.56,3480,M,1.04,0.078
10.37,3670,M,0.41,0.5
10.09,3520,M,1.21,0.23
6.8,3337,M,1.06,-0.192
7.86,5234,G,0.65,-0.1
9.69,3574,M,1.08,-0.343
8.09,3341,M,0.52,-0.243
9.06,3489,M,0.71,0.316
8.95,3685,M,1.02,-0.069
7.36,5584,G,0.43,-0.347
9.03,3374,M,0.56,-0.487
6.07,6958,F,0.61,-0.368
8.79,3596,M,1.04,-0.201
7.85,3678,M,1.25,0.001
7.28,3103,M,0.64,-0.099
5.51,3558,M,0.62,0.175
8.26,6774,F,1.07,-0.234
8.08,7053,F,1.06,0.307
6.32,5097,G,0.7,-0.034
4.81,6892,F,2.5,0.115
4.71,3788,M,1.1,-0.13
7.49,4945,G,0.92,0.254
8.61,3584,M,0.82,-0.332
11.7,3608,M,1.66,-0.308
7.91,3443,M,1.31,-0.242
4.75,3414,M,0.42,0.294
7.59,4650,K,0.71,-0.059
10.5,4362,K,0.8,-0.237
6.63,4451,K,0.99,-0.049
10.24,3642,M,1.37,0.043
8.35,3807,M,0.59,-0.269
9.29,4621,K,0.96,0.04
11.72,3523,M,2.34,-0.034
4.33,6332,F,1.01,-0.126
9.79,3323,M,0.71,-0.317
7.81,3694,M,0.51,0.222
6.1,3473,M,0.78,-0.117
7.8,3701,M,0.58,-0.734
11.38,3442,M,0.82,0.089
10.67,3386,M,1.31,0.095
4.0,5616,G,1.02,0.233
6.46,3487,M,0.79,0.103
9.89,3289,M,0.41,0.035
7.96,7091,F,1.52,-0.122
7.96,3390,M,0.84,-0.121
4.86,4709,K,1.06,0.169
6.51,6774,F,0.63,-0.039
5.28,3280,M,0.82,-0.359
4.69,3325,M,0.75,-0.086
5.48,4432,K,0.51,-0.014
6.14,3349,M,0.64,-0.498
6.48,3802,M,0.99,0.187
6.32,39600,O,1.16,0.0
10.04,3656,M,0.71,-0.341
6.19,3590,M,0.55,-0.074
10.85,5573,G,0.84,-0.026
7.03,3507,M,1.48,0.236
8.88,6902,F,0.63,0.229
8.94,3356,M,1.01,0.27
6.2,3802,M,0.72,0.094
7.34,5146,G,1.76,-0.163
6.99,3637,M,0.78,-0.227
8.74,3254,M,1.39,-0.175
7.74,4429,K,1.66,-0.016
6.5,3516,M,2.16,-0.006
8.24,39027,O,0.51,0.257
8.68,3468,M,0.5,-0.064
11.7,3257,M,1.79,-0.506
8.14,3327,M,1.65,-0.298
8.02,3587,M,0.73,-0.244
8.86,3505,M,0.2,-0.244
6.1,3379,M,1.04,-0.701
4.55,3732,M,0.47,0.392
7.38,3287,M,0.66,-0.546
10.14,3437,M,1.09,-0.143
10.47,5361,G,1.17,0.165
4.24,3608,M,2.2,0.147
9.33,3508,M,0.83,-0.367
3.63,3481,M,0.61,0.302
8.92,3177,M,1.58,0.265
8.8,6781,F,1.21,-0.045
4.55,3462,M,0.83,0.007
10.0,4526,K,1.02,-0.228
11.49,3369,M,0.83,0.063
7.88,3341,M,1.41,0.057
8.28,3762,M,2.33,-0.122
10.96,3190,M,0.7,0.161
5.75,3316,M,1.23,0.083
5.8,3759,M,0.47,0.803
6.32,3612,M,0.58,-0.225
8.07,4427,K,1.32,0.333
8.07,3718,M,0.97,-0.213
6.89,3578,M,0.57,0.132
7.4,3541,M,1.0,-0.65
6.92,3539,M,1.55,-0.128
7.02,3581,M,0.49,0.118
6.46,5639,G,2.39,0.06
6.48,4994,K,1.33,-0.501
4.0,3466,M,1.35,-0.103
7.55,5455,G,1.0,0.369
4.09,5160,G,2.4,0.257
9.5,4488,K,1.62,0.24
6.88,3826,M,0.83,0.588
7.76,3672,M,1.46,-0.436
7.25,4378,K,0.69,-0.099
7.51,3505,M,0.87,0.008
10.53,3273,M,2.08,-0.183
5.3,4282,K,1.21,0.031
4.75,3526,M,1.39,0.325
8.24,3413,M,1.79,0.028
7.01,3317,M,1.32,-0.551
8.72,4610,K,0.67,0.169
9.43,4481,K,2.29,-0.004
5.79,4147,K,1.29,-0.545
9.21,4033,K,1.34,-0.154
5.96,3400,M,1.03,-0.434
8.15,3222,M,1.74,-0.072
5.53,3173,M,2.61,-0.126
8.26,3698,M,0.83,-0.381
7.96,4478,K,1.7,0.063
5.79,3454,M,1.02,-0.271
5.28,19812,B,0.37,0.331
9.5,3301,M,0.5,0.042
7.09,3572,M,1.24,-0.065
10.02,3477,M,1.66,0.314
6.91,3367,M,1.36,0.065
10.6,3394,M,1.47,0.087
6.1,3285,M,3.65,-0.016
10.95,3429,M,1.3,-0.078
8.35,3458,M,0.88,0.101
8.8,3424,M,0.94,0.381
5.99,3510,M,2.26,-0.855
9.46,3486,M,0.53,0.467
9.53,6575,F,1.86,-0.252
7.35,4712,K,1.01,0.048
3.73,3604,M,0.66,-0.429
5.77,3667,M,0.48,0.373
5.77,3352,M,2.1,-0.346
8.9,3411,M,0.65,0.281
7.07,4647,K,1.03,-0.06
7.11,3618,M,0.61,-0.041
6.87,4347,K,2.67,-0.315
10.94,3607,M,1.05,0.305
8.09,3335,M,0.51,-0.037
8.4,4608,K,0.81,0.179
6.76,6491,F,2.01,-0.517
7.94,3258,M,0.61,-0.223
6.05,3424,M,0.83,0.063
8.69,3882,M,1.81,-0.394
5.71,3535,M,1.19,0.09
9.49,7248,F,0.54,-0.165
6.53,3247,M,1.12,-0.194
9.9,3631,M,0.93,0.128
11.81,3056,M,1.03,0.043
8.0,3500,M,1.61,-0.281
10.62,3610,M,1.13,0.281
9.5,3647,M,0.95,0.126
5.13,5280,G,0.93,-0.504
8.22,4734,K,1.71,-0.076
9.0,3407,M,0.7,0.093
9.2,3471,M,0.34,-0.028
8.36,3424,M,0.89,-0.831
8.33,3301,M,1.21,0.016
8.01,3775,M,0.81,0.189
8.27,3508,M,0.77,-0.02
5.55,5799,G,0.83,0.014
7.53,5787,G,0.99,0.255
5.09,5234,G,0.52,-0.396
7.0,3713,M,1.39,0.184
6.82,6664,F,0.26,0.085
6.69,3318,M,1.31,-0.406
5.9,4601,K,1.17,0.174
8.54,3321,M,1.28,0.452
7.36,3781,M,0.38,0.083
7.16,3642,M,1.16,0.139
5.18,5480,G,0.76,-0.266
7.4,4785,K,2.23,-0.155
10.29,3223,M,1.2,-0.254
10.32,3369,M,0.56,0.099
8.75,3456,M,0.43,-0.129
7.41,3891,M,0.74,-0.145
9.12,4259,K,1.5,0.176
6.67,4116,K,1.78,0.417
7.4,3247,M,1.09,-0.022
6.51,3659,M,1.04,-0.394
9.82,4366,K,0.85,0.01
9.56,3472,M,0.99,0.048
7.93,3633,M,1.84,0.208
11.46,3472,M,0.84,-0.081
8.83,5556,G,1.39,0.22
8.71,4620,K,0.77,0.182
8.5,3425,M,1.66,-0.075
5.48,5454,G,1.34,0.205
6.21,20242,B,1.63,0.233
7.89,3652,M,2.56,-0.273
7.91,4322,K,0.27,0.24
9.18,3820,K,1.46,-0.03
6.66,3619,M,1.26,-0.062
8.14,3662,M,1.25,-0.027
8.18,4545,K,1.13,0.31
8.26,3547,M,1.13,0.31
8.03,3401,M,1.18,0.119
5.19,3588,M,1.57,0.067
3.48,4692,K,1.51,-0.026
6.12,4513,K,0.99,0.675
6.94,3936,M,0.91,-0.171
5.64,3226,M,1.01,-0.112
7.89,3529,M,0.81,0.076
10.18,3294,M,2.44,-0.227
9.45,3654,M,0.53,0.262
8.93,4144,K,1.45,-0.368
9.97,3267,M,1.45,-0.178
6.15,3389,M,0.77,-0.1
7.09,4560,K,1.16,-0.251
9.23,3396,M,1.88,0.26
7.05,3398,M,0.85,-0.329
7.16,3468,M,1.93,-0.241
11.72,3458,M,1.75,-0.169
8.19,3760,M,0.7,0.211
11.53,4654,K,0.57,0.363
4.35,6395,F,1.09,0.131
6.74,3867,M,0.54,-0.328
8.82,5635,G,0.23,-0.155
8.19,3330,M,0.78,0.393
3.89,6583,F,2.97,0.007
7.54,4620,K,0.8,-0.361
12.95,6277,F,1.21,0.549
8.49,3316,M,1.42,-0.142
9.21,3515,M,0.98,-0.018
6.71,5401,G,0.85,-0.171
8.49,4833,K,1.85,-0.239
7.98,3630,M,1.02,0.324
10.24,3388,M,0.96,0.049
10.17,3575,M,1.49,0.079
8.82,3722,M,0.6,-0.32
8.14,3256,M,0.53,-0.075
4.64,3321,M,0.44,-0.156
4.57,4497,K,1.33,-0.206
8.16,3506,M,0.92,0.117
9.75,3491,M,1.51,-0.084
10.66,3446,M,1.03,0.173
6.22,8361,A,0.5,0.18
4.98,3567,M,0.84,-0.109
9.87,3698,M,1.57,0.113
6.37,3416,M,0.88,-0.116
4.85,7292,F,1.81,-0.197
7.01,4941,K,0.8,-0.265
6.98,3733,M,1.43,0.021
10.64,3609,M,0.41,-0.185
9.73,4952,K,0.89,0.345
6.53,3449,M,0.82,0.406
10.8,6229,F,0.5,0.119
8.25,4382,K,1.74,0.061
10.12,4274,K,0.73,0.005
10.65,4527,K,0.69,0.593
7.47,4567,K,1.92,0.491
9.14,5555,G,1.08,-0.051
7.19,5497,G,1.48,-0.05
9.86,3523,M,0.43,0.082
8.18,3804,M,0.67,-0.295
9.92,3609,M,2.84,-0.45
11.05,4708,K,1.53,-0.334
9.09,5552,G,0.58,-0.075
7.81,3217,M,1.12,-0.236
7.85,3183,M,0.61,0.364
2.09,4969,K,2.01,-0.367
6.57,4380,K,0.32,-0.334
9.87,3392,M,1.15,-0.459
9.94,3543,M,1.14,-0.161
6.53,3596,M,0.57,-0.1
8.33,3618,M,0.87,-0.02
7.62,3811,M,1.21,-0.009
9.38,3763,M,0.41,-0.155
12.42,5277,G,0.53,-0.263
9.42,3670,M,0.93,0.105
6.66,4414,K,0.66,-0.225
7.84,3476,M,0.79,0.195
10.8,3309,M,0.99,-0.371
5.18,3204,M,0.63,-0.187
6.77,3494,M,0.99,0.511
9.42,4285,K,1.16,0.545
10.59,5755,G,1.48,-0.34
9.22,3451,M,0.54,0.302
6.79,3554,M,0.73,0.403
9.07,5876,G,1.34,0.266
8.83,3240,M,0.48,-0.017
8.7,4337,K,1.05,-0.482
7.81,4541,K,1.01,0.021
8.11,5586,G,0.27,0.103
6.19,3693,M,0.78,0.06
12.96,4695,K,1.18,0.119
8.31,3517,M,0.9,-0.203
9.1,4568,K,0.79,-0.121
7.56,6608,F,1.08,-0.599
9.69,3243,M,1.64,0.223
5.4,3473,M,1.31,-0.224
4.51,4556,K,0.69,-0.062
7.94,6649,F,0.48,0.063
12.11,3338,M,1.3,-0.14
10.42,5151,G,0.55,-0.268
6.38,3459,M,0.77,0.064
9.03,3844,M,1.11,-0.446
6.73,4316,K,1.77,0.192
8.85,3705,M,1.9,0.165
9.01,3777,M,1.03,-0.137
9.85,4510,K,0.78,-0.124
4.87,4347,K,0.55,-0.247
5.47,3590,M,2.66,-0.096
7.85,3534,M,0.87,-0.05
5.94,3350,M,1.4,-0.08
5.78,4352,K,1.1,0.362
8.54,5625,G,0.78,-0.437
6.17,4710,K,0.76,-0.227
12.52,4427,K,0.5,0.183
6.93,4484,K,1.75,0.514
7.46,3617,M,0.94,-0.216
8.6,5453,G,2.04,0.253
4.98,4433,K,0.8,-0.288
9.02,3368,M,0.86,-0.097
8.68,4326,K,0.57,0.003
7.3,7367,F,0.86,-0.173
8.55,6436,F,0.54,-0.105
8.86,5875,G,1.22,-0.341
10.87,3795,M,1.06,0.169
13.0,3468,M,2.09,-0.225
5.88,6620,F,0.48,-0.166
5.41,4523,K,1.84,-0.195
8.21,4137,K,0.61,-0.182
3.84,3228,M,1.19,0.036
9.3,3509,M,0.56,0.016
8.23,3426,M,1.11,0.63
8.73,4926,K,0.28,-0.061
7.39,5435,G,0.72,-0.025
8.51,3841,M,1.05,0.334
8.94,3417,M,2.41,0.056
8.4,3835,M,0.35,-0.025
5.31,6665,F,1.0,-0.033
8.34,3599,M,0.77,0.048
11.71,3410,M,0.38,0.244
8.48,3601,M,0.57,0.336
8.27,4881,K,0.79,0.258
11.12,3475,M,1.26,0.117
6.51,6390,F,1.04,0.053
9.78,3457,M,0.52,0.51
6.94,4865,K,0.4,-0.119
10.17,3650,M,1.23,0.175
9.6,3753,M,0.91,0.294
7.18,4571,K,2.24,0.261
7.47,3507,M,0.84,-0.191
9.96,5617,G,1.77,0.704
4.29,4741,K,1.31,0.418
7.12,4444,K,1.51,0.265
9.24,5876,G,1.24,-0.252
7.38,3564,M,1.26,0.245
8.27,4838,G,0.32,-0.578
3.92,3655,M,0.89,-0.058
6.29,3277,M,0.72,0.027
9.36,3650,M,1.89,-0.112
6.5,3658,M,0.61,0.396
5.4,5591,G,0.87,0.026
10.12,3595,M,1.49,-0.24
9.03,4747,K,1.16,0.188
5.82,3413,M,1.09,0.1
8.28,3639,M,1.74,-0.438
5.89,3704,M,1.14,0.334
7.7,7072,F,0.76,0.025
8.35,3306,M,0.52,0.246
6.38,3571,M,1.28,0.103
9.48,3332,M,0.68,-0.084
9.79,8073,A,0.89,0.106
8.53,3563,M,1.71,-0.025
8.83,6525,F,0.9,0.073
5.09,3700,M,0.8,0.15
10.72,3439,M,0.87,0.037
7.82,5463,G,0.88,0.116
6.13,6569,F,0.61,-0.093
8.29,3349,M,2.31,-0.143
9.49,4337,K,0.76,0.194
9.02,5807,G,1.48,0.363
5.83,3404,M,0.6,-0.129
9.52,3707,M,1.32,0.079
7.88,3606,M,1.09,-0.352
9.0,5074,G,1.01,0.451
6.4,8725,A,1.09,0.287
10.09,3591,M,1.23,-0.146
8.37,3574,M,0.89,-0.088
10.38,3475,M,0.92,0.302
4.93,3335,M,1.33,0.044
5.2,3736,M,0.56,0.158
7.52,5472,G,0.52,-0.247
10.94,3345,M,1.09,0.144
11.93,3580,M,0.37,-0.037
6.22,3370,M,0.43,0.075
8.11,3334,M,2.47,-0.099
8.31,3434,M,2.17,-0.053
9.44,3384,M,0.75,0.026
9.77,4295,K,1.65,-0.146
5.77,3641,M,1.68,0.567
8.13,3480,M,1.27,-0.264
3.98,4782,K,0.96,0.125
9.62,3350,M,1.37,0.076
7.32,4111,K,1.49,0.19
5.59,3526,M,1.38,-0.625
8.67,3825,M,0.46,-0.422
7.26,3593,M,2.76,-0.137
10.52,4063,M,3.33,0.23
6.21,3558,M,0.38,-0.066
12.45,3541,M,1.29,-0.076
9.71,3123,M,2.78,0.004
10.58,4596,K,1.65,-0.21
5.94,5546,G,1.66,0.118
11.58,3429,M,0.49,0.048
5.57,3476,M,1.49,0.126
7.58,5481,G,1.13,0.379
10.61,5451,G,1.48,-0.058
9.01,6075,G,0.6,0.028
5.52,3435,M,0.59,-0.246
10.27,3530,M,0.93,-0.313
8.68,5389,G,0.83,-0.002
7.17,3637,M,0.92,0.026
4.92,4540,K,0.79,0.172
8.87,3451,M,0.9,0.144
7.67,3163,M,0.72,0.064
8.31,3543,M,0.98,0.421
4.83,4430,K,0.49,-0.078
7.16,4486,K,1.29,-0.047
8.96,3293,M,1.14,0.071
11.75,6966,F,0.53,-0.296
7.59,3650,M,1.94,0.172
10.89,3750,M,0.66,0.018
9.57,3701,M,1.81,0.023
8.47,3604,M,1.18,0.136
5.98,5186,G,1.65,0.094
6.06,3823,M,1.09,0.103
9.24,3338,M,1.33,-0.097
6.95,4440,K,1.64,0.392
6.77,3624,M,2.6,-0.366
7.64,3632,M,1.71,-0.171
7.67,3600,M,1.25,-0.138
9.8,5390,G,0.51,-0.18
6.99,3394,M,0.3,-0.437
9.6,3944,M,0.94,0.411
8.88,5489,G,0.7,0.161
4.65,3472,M,0.71,-0.158
8.59,3375,M,0.96,0.174
2.66,3543,M,1.39,-0.04
6.21,3535,M,0.73,-0.073
8.93,3497,M,1.56,-0.24
7.98,8662,A,1.02,0.004
4.46,3809,M,1.02,-0.158
5.76,3396,M,2.55,-0.243
2.78,5512,G,1.09,0.239
5.31,4354,K,0.97,-0.206
9.16,3552,M,1.3,0.351
6.89,3401,M,2.46,-0.179
8.34,3408,M,0.98,-0.376
8.03,3245,M,1.25,0.131
8.07,5527,G,0.95,-0.112
10.05,3575,M,0.95,-0.395
7.59,3826,M,0.78,0.064
9.82,4606,K,0.76,-0.326
3.05,4399,K,2.34,-0.497
10.22,3262,M,0.76,0.169
5.42,3286,M,0.46,0.372
5.85,4208,K,1.06,-0.099
6.59,9298,A,1.66,0.303
10.17,5579,G,1.86,0.201
6.22,3398,M,0.55,0.167
